x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
0,0,0,0.64,0.32,0,0,0,0,0.778,0,3.756,1,1
0.21,0.07,0.21,0.79,0.14,0.07,0.43,0,0,0.372,0.18,5.114,1,1
0.19,0.12,0.38,0.45,0.06,0.06,0.06,0,0.06,0.276,0.184,9.821,1,1
0.31,0.63,0.31,0.31,0.31,0,0,0,0,0.137,0,3.537,1,1
0.31,0.63,0.31,0.31,0.31,0,0,0,0,0.135,0,3.537,1,1
0,1.85,0,0,0,0,0,0,0,0,0,3,1,1
0,0,0.96,1.28,0.96,0,0,0,0,0.164,0.054,1.671,1,1
0,1.88,0,0,0,0,0,0,0,0,0,2.45,1,1
0.3,0,0.76,0.92,0,0,0.15,0,0,0.181,0.203,9.744,1,1
0.38,0,0,0.64,0,0,0,0,0,0.244,0.081,1.729,1,1
0.96,0,0.96,0,0,0,0,0,0,0.462,0,1.312,1,1
0.25,0,0.12,0.12,0,0,0,0,0,0.663,0,1.243,1,1
0,0,0,0.69,0.34,0,0,0,0,0.786,0,3.728,1,1
0.9,0,0.9,0,0,0,0,0,0,0,0,2.083,1,1
0,0.35,0,0.35,5.35,0,0,0,0,0.357,0,1.971,1,1
0.42,0,0,0,1.27,0,0.42,0,0,0.572,0.063,5.659,1,1
0,0,0,0,0,0,0,0,0,0.428,0,4.652,1,1
0,0,0,0,0,0,0,0,0,1.975,0.37,35.461,1,1
0.18,0,0,0,0,0.37,0,0,0,0.455,0,1.32,1,1
0,0,0,0.63,0.63,0.31,0.63,0,0,0.055,0.496,3.509,1,1
0,0,0,0,0,0,0,0,0,0.729,0,3.833,1,1
0.15,0.02,0.1,0.47,0,0.02,0,0,0,0.25,0.046,2.569,1,1
0,0,0,0,2.94,0,0,0,0,0.809,0,4.857,1,1
0,0,0,0.58,1.16,0,0,0,0,0.667,0,1.131,1,1
0,0,0,0,0,0,0,0,0,0.392,0.196,5.466,1,1
0.15,0.02,0.1,0.47,0,0.02,0,0,0,0.25,0.046,2.565,1,1
0,0,0,0,0,0,0,0,0,0.392,0.196,5.466,1,1
1.66,0,0,0,0,0,3.33,0,0,0.368,0,2.611,1,1
0,0,0,0,3.33,0,0,0,0,0.352,0,4,1,1
0.65,0,0.65,0.65,0.65,1.3,0.65,0,0,0.091,0,2.687,1,1
0,0,0,1.17,0,1.17,0,0,0,0.886,0,1.966,1,1
0,0,0,0,3.03,0,0,0,0,2.112,0,3.909,1,1
0,0,0,0.81,0.27,0,0.27,0,0,0,0.091,1.39,1,1
0,0,0,0,0,0,0,0,0,0,0.302,1.7,1,1
0,0,1.36,0,0,0,0,0.68,0,0,0,3.826,1,1
0,0,0,0,0,0,0,0,0,1.543,0,2.777,1,1
0,0,0,0,2.94,0,0,0,0,0.873,0,4.142,1,1
0.48,0,0,0.97,0.48,0.97,0,0,0,0.488,0.244,5.431,1,1
0,0,0,0.97,0.48,0,0,0,0,0.963,0,3.1,1,1
0,0,0,0.41,0.41,0,0,0,0,0.75,0,3.851,1,1
0,2.45,0,0.3,0,0,0.61,0,0,0.207,0.207,2.132,1,1
0,0,0,0,2.94,0,0,0,0,0.671,0,4,1,1
0,0,0,0,2.94,0,0,0,0,0.711,0,4,1,1
0.18,0,0,0.18,0,0.37,0,0,0,0.426,0,1.283,1,1
0.26,0.52,0.26,0.52,0.26,1.56,0,0,0,0.813,0.036,2.145,1,1
0,1.81,0,0.9,0,0,0.3,0,0,1.318,0.068,5.301,1,1
0.06,0.06,0.06,0.54,0,0.72,0.06,0,0,0.01,0.167,1.733,1,1
0,0,0.99,2.48,4.97,0.99,0,0,0,0.17,0,1.468,1,1
0.05,0.28,0.25,0.97,0.25,0.43,0.36,0,0,0.325,0.756,5.891,1,1
0.06,0.33,0.39,0.73,0.26,0,0.26,0,0,0.278,0.23,3.887,1,1
0,0,0,1.92,0,0,0,0,0,0,0,2.75,1,1
0.73,1.09,0,0.36,1.09,0.36,0,0,0,0.498,0.332,3.254,1,1
0.38,0,0,0.64,0,0,0,0,0,0.244,0.071,1.732,1,1
0,0,0,1.26,0,0,1.26,0,0,0.198,0.596,3.833,1,1
0.73,1.1,0,0.36,1.1,0.36,0,0,0,0.5,0.333,3.259,1,1
0,0,0,0,1.08,0,0,0,0,1.478,0,2,1,1
1.04,0,0,1.04,0,1.04,0,0,0,0.615,0.061,3.318,1,1
0,0,0,2.53,0,0,0,0,0,0,0,3.642,1,1
0,0,0,0.45,0.45,0,0,0,0,1.501,0,2.777,1,1
0,0,0,0.42,0.42,0,0,0,0,0.669,0,3.837,1,1
0.59,0,0,0.59,0,0,0,0,0,0,0,8.586,1,1
0,0,0,0,0.23,0.23,0.23,0,0,0.175,0,1.294,1,1
0.93,0.93,0.46,0.93,1.39,0,0,0,0,0,0,1.442,1,1
0.68,0,0.34,0,0.34,0,0,0.34,0,0.048,0.048,1.411,1,1
0,0.36,0.36,0.72,0,0,0,0,0,0.019,0.019,1.714,1,1
0,0,0,0,1.98,1.32,0,0,0,2.205,0,3.184,1,1
0.48,0,0.48,0,0.48,0,0.48,0,0,0.589,0.294,4.85,1,1
1.47,0,0,1.47,0,0,0,0,0,0.5,0,1.214,1,1
0,0,0.3,0.92,2.15,0.61,0.3,0,0,1.053,0.351,3.884,1,1
0,0,0,0,0,0,0,0,0,0,0.1,4.548,1,1
2.53,1.26,1.26,1.26,0,5.06,0,0,0,0.537,0,72.5,1,1
0,0,0,0.53,0.53,0,0,0,0,0.877,0,3.4,1,1
0,0,0,0.44,0.44,0,0,0,0,0.807,0,3.849,1,1
0.46,0,0.46,0.46,0.92,0,0,0,0,0.298,0.223,2.156,1,1
0.48,0,0,0.96,0.48,0.96,0,0,0,0.486,0.243,5.13,1,1
0,0,0,0,2.83,0,0,0,0,1.366,0,26.5,1,1
0,0,0,0.59,0,0,0,0,0,0.165,0.082,2.325,1,1
0,0.25,0.25,1.51,0.37,0.44,0.75,0,0,0.437,0.234,3.675,1,1
